County/City,R_SHARE,Year
Sussex County,0.40741475019825535,2016
TOTALS,0.44406696630127107,2016
Tazewell County,0.8169772702790047,2016
Virginia Beach City,0.4832383819897472,2016
Warren County,0.6555122494432071,2016
Washington County,0.747475529074941,2016
Waynesboro City,0.5216210343328987,2016
Westmoreland County,0.5187777000233263,2016
Williamsburg City,0.25242591135588777,2016
Winchester City,0.4490484672353989,2016
Wise County,0.7970718195607729,2016
Wythe County,0.7529041444952409,2016
York County,0.5521132540008207,2016
Accomack County,0.5116815151703944,2012
Albemarle County,0.43152181966362896,2012
Alexandria City,0.2753430059422635,2012
Alleghany County,0.5011849993029416,2012
Amelia County,0.6263195950831526,2012
Amherst County,0.5929191716766867,2012
Appomattox County,0.6729678638941399,2012
Arlington County,0.2931213332199643,2012
Augusta County,0.7010921177587844,2012
Bath County,0.5730994152046783,2012
Bedford City,0.544385026737968,2012
Bedford County,0.7126372305473195,2012
Bland County,0.7272727272727273,2012
Botetourt County,0.6841181952743819,2012
Bristol City,0.646295294753921,2012
Brunswick County,0.36906242228301417,2012
Buchanan County,0.6672195728799503,2012
Buckingham County,0.47861070135443207,2012
Buena Vista City,0.6189157103284527,2012
Campbell County,0.6883606940014004,2012
Caroline County,0.4505566949897451,2012
Carroll County,0.6762656758012077,2012
Charles City County,0.32986767485822305,2012
Charlotte County,0.5613767378772465,2012
Charlottesville City,0.22216107136305266,2012
Chesapeake City,0.48785786048532354,2012
Chesterfield County,0.5311379274090862,2012
Clarke County,0.5534656016490596,2012
Colonial Heights City,0.68889146567718,2012
Covington City,0.4184549356223176,2012
Craig County,0.6587926509186351,2012
Culpeper County,0.5728702879192639,2012
Cumberland County,0.5027733755942948,2012
Danville City,0.3837939387946804,2012
Dickenson County,0.6189717595944968,2012
Dinwiddie County,0.5059239090440798,2012
Emporia City,0.32863501483679525,2012
Essex County,0.45834067289061126,2012
Fairfax City,0.41061140252816236,2012
Fairfax County,0.3898670357185954,2012
Falls Church City,0.2944322545255074,2012
Fauquier County,0.5912745263394614,2012
Floyd County,0.6111692388176825,2012
Fluvanna County,0.5238057886893089,2012
Franklin City,0.3431192660550459,2012
Franklin County,0.6258844670734903,2012
Frederick County,0.6275015784994646,2012
Fredericksburg City,0.35424483029404064,2012
Galax City,0.5849802371541502,2012
Giles County,0.6165652288965334,2012
Gloucester County,0.6294145101903231,2012
Goochland County,0.6344723995493804,2012
Grayson County,0.6742030613677854,2012
Greene County,0.6172004876426909,2012
Greensville County,0.35850588712951686,2012
Halifax County,0.5208483105679368,2012
Hampton City,0.2802080514716936,2012
Hanover County,0.6752210444455715,2012
Harrisonburg City,0.42102225357532225,2012
Henrico County,0.432770631381077,2012
Henry County,0.5601890798381605,2012
Highland County,0.6539278131634819,2012
Hopewell City,0.4140183811316576,2012
Isle of Wight County,0.5666138556819819,2012
James City County,0.5533672480620155,2012
King George County,0.5829287668814547,2012
King William County,0.612436974789916,2012
King and Queen County,0.5102599179206566,2012
Lancaster County,0.5384505021520803,2012
Lee County,0.7133777870389665,2012
Lexington City,0.42618073633320935,2012
Loudoun County,0.4702898867561541,2012
Louisa County,0.5601142718210552,2012
Lunenburg County,0.5171572896707891,2012
Lynchburg City,0.5434043020193152,2012
Madison County,0.5847060601481033,2012
Manassas City,0.42519736842105266,2012
Manassas Park City,0.3649054982817869,2012
Martinsville City,0.36785998408910103,2012
Mathews County,0.6490509862299962,2012
Mecklenburg County,0.528818730516681,2012
Middlesex County,0.5952302631578947,2012
Montgomery County,0.4878441317759516,2012
Nelson County,0.4784242424242424,2012
New Kent County,0.6583681628202799,2012
Newport News City,0.34228753158271846,2012
Norfolk City,0.2654442036215181,2012
Northampton County,0.4121361466194363,2012
Northumberland County,0.5702566816618153,2012
Norton City,0.5998659517426274,2012
Nottoway County,0.49795501022494887,2012
Orange County,0.5652439770086829,2012
Page County,0.6202581149784904,2012
Patrick County,0.6801354947979675,2012
Petersburg City,0.09582078313253012,2012
Pittsylvania County,0.6276023849086111,2012
Poquoson City,0.7475372924289333,2012
Portsmouth City,0.2796615699153925,2012
Powhatan County,0.7212776919113859,2012
Prince Edward County,0.42775192120359345,2012
Prince George County,0.5533466284432257,2012
Prince William County,0.41320791364910237,2012
Pulaski County,0.6076294277929155,2012
Radford City,0.46675310242637524,2012
Rappahannock County,0.5304108331420703,2012
Richmond City,0.20514027297468743,2012
Richmond County,0.5729442970822282,2012
Roanoke City,0.373328352633545,2012
Roanoke County,0.617451236894,2012
Rockbridge County,0.5794851640793869,2012
Rockingham County,0.6936843916709688,2012
Russell County,0.6767041694242224,2012
Salem City,0.5925474914758889,2012
Scott County,0.7444955964771818,2012
Shenandoah County,0.6471893872915914,2012
Smyth County,0.6557877436017845,2012
Southampton County,0.5109024179620034,2012
Spotsylvania County,0.5492807120433297,2012
Stafford County,0.5351964144476667,2012
Staunton City,0.47029438001784124,2012
Suffolk City,0.418643988159564,2012
Surry County,0.387883008356546,2012
Sussex County,0.3715073529411765,2012
TOTALS,0.4723954606001022,2012
Tazewell County,0.7802829603742742,2012
Virginia Beach City,0.5042763258133653,2012
Warren County,0.5910288657324231,2012
Washington County,0.7077481273408239,2012
Waynesboro City,0.5448754407917188,2012
Westmoreland County,0.45948275862068966,2012
Williamsburg City,0.34615384615384615,2012
Winchester City,0.47996118389131487,2012
Wise County,0.7375149820215741,2012
Wythe County,0.6716694908416041,2012
York County,0.5950578741201072,2012
Accomack County,0.5013761761505473,2008
Albemarle County,0.4035775929703436,2008
Alexandria City,0.27259678244556873,2008
Alleghany County,0.5041389605102456,2008
Amelia County,0.6080563639148415,2008
Amherst County,0.5761904761904761,2008
Appomattox County,0.6425950196592398,2008
Arlington County,0.27122275380606975,2008
Augusta County,0.693502909592657,2008
Bath County,0.5546875,2008
Bedford City,0.5475493782004389,2008
Bedford County,0.6815517722578844,2008
Bland County,0.6863805339641771,2008
Botetourt County,0.6590256233482708,2008
Bristol City,0.6222312814241066,2008
Brunswick County,0.36353297952994695,2008
Buchanan County,0.519922143347836,2008
Buckingham County,0.49013440091507005,2008
Buena Vista City,0.5290961617829137,2008
Campbell County,0.675757340977764,2008
Caroline County,0.43478597414660575,2008
Carroll County,0.6508466491772001,2008
Charles City County,0.31013725018059235,2008
Charlotte County,0.5476693194737697,2008
Charlottesville City,0.2034524047096388,2008
Chesapeake City,0.48943927232819634,2008
Chesterfield County,0.5331239820344504,2008
Clarke County,0.5167541380702463,2008
Colonial Heights City,0.6962368629223641,2008
Covington City,0.4333050127442651,2008
Craig County,0.646699732926364,2008
Culpeper County,0.5425763639126691,2008
Cumberland County,0.5118543607112617,2008
Danville City,0.40023934897079944,2008
Dickenson County,0.49222567747667706,2008
Dinwiddie County,0.5062053986968663,2008
Emporia City,0.34275888421857087,2008
Essex County,0.44351230425055926,2008
Fairfax City,0.4115634321810844,2008
Fairfax County,0.38933160808439254,2008
Falls Church City,0.29185185185185186,2008
Fauquier County,0.5618808264414507,2008
Floyd County,0.5908728046833422,2008
Fluvanna County,0.5041224970553593,2008
Franklin City,0.35599728936074093,2008
Franklin County,0.6068265028935869,2008
Frederick County,0.5994585267166488,2008
Fredericksburg City,0.3526919499844993,2008
Galax City,0.548293089092423,2008
Giles County,0.5724182168056446,2008
Gloucester County,0.6289147851420248,2008
Goochland County,0.6084222257602293,2008
Grayson County,0.628808864265928,2008
Greene County,0.6029055690072639,2008
Greensville County,0.3537957847350113,2008
Halifax County,0.5103857566765578,2008
Hampton City,0.3013702662525941,2008
Hanover County,0.6639169392689518,2008
Harrisonburg City,0.41212947189097104,2008
Henrico County,0.434811507040254,2008
Henry County,0.5456276026174895,2008
Highland County,0.5984555984555985,2008
Hopewell City,0.4356362872742545,2008
Isle of Wight County,0.5629844476671501,2008
James City County,0.5417195554749631,2008
King George County,0.5621539049073897,2008
King William County,0.5920362422508345,2008
King and Queen County,0.47584345479082324,2008
Lancaster County,0.5256558085903719,2008
Lee County,0.6312994472743036,2008
Lexington City,0.3686970552642194,2008
Loudoun County,0.4541549846191354,2008
Louisa County,0.5329251612062789,2008
Lunenburg County,0.5132743362831859,2008
Lynchburg City,0.5136134649544276,2008
Madison County,0.560979250634423,2008
Manassas City,0.4384677478535261,2008
Manassas Park City,0.39468599033816426,2008
Martinsville City,0.3544478527607362,2008
Mathews County,0.6352941176470588,2008
Mecklenburg County,0.5182999602174778,2008
Middlesex County,0.5902430902430903,2008
Montgomery County,0.4680589378397658,2008
Nelson County,0.44842001721382024,2008
New Kent County,0.6390751676508858,2008
Newport News City,0.3526293129958792,2008
Norfolk City,0.28055536711665874,2008
Northampton County,0.4119344063164288,2008
Northumberland County,0.5456386713475561,2008
Norton City,0.49206349206349204,2008
Nottoway County,0.5007155123068117,2008
Orange County,0.5383203594709196,2008
Page County,0.5814804119742035,2008
Patrick County,0.643652561247216,2008
Petersburg City,0.10186615186615186,2008
Pittsylvania County,0.6154503335195347,2008
Poquoson City,0.7401273885350318,2008
Portsmouth City,0.2996678452801886,2008
Powhatan County,0.697841726618705,2008
Prince Edward County,0.4446101406050277,2008
Prince George County,0.5467949518930401,2008
Prince William County,0.416267559681371,2008
Pulaski County,0.5885049833887043,2008
Radford City,0.4453858905875852,2008
Rappahannock County,0.5055618615209989,2008
Richmond City,0.20034377182145352,2008
Richmond County,0.558611481975968,2008
Roanoke City,0.3775630334543314,2008
Roanoke County,0.5997253555664541,2008
Rockbridge County,0.5622363903874448,2008
Rockingham County,0.6740265194696106,2008
Russell County,0.5558552288150339,2008
Salem City,0.571336450104788,2008
Scott County,0.7068354430379746,2008
Shenandoah County,0.6245123029704001,2008
Smyth County,0.6354251341245326,2008
Southampton County,0.5054593581118342,2008
Spotsylvania County,0.5291386931513437,2008
Stafford County,0.5269317464610945,2008
Staunton City,0.48388561053109397,2008
Suffolk City,0.43011426280445025,2008
Surry County,0.3845086705202312,2008
Sussex County,0.3777736341599851,2008
TOTALS,0.46330500690255316,2008
Tazewell County,0.656526581091378,2008
Virginia Beach City,0.4984819800346834,2008
Warren County,0.5506015130844599,2008
Washington County,0.6562040816326531,2008
Waynesboro City,0.5434537246049661,2008
Westmoreland County,0.4439536827026382,2008
Williamsburg City,0.34669220568734344,2008
Winchester City,0.4666205806833893,2008
Wise County,0.6304993634177394,2008
Wythe County,0.6570330638059403,2008
York County,0.5850960261970086,2008
Accomack County,0.5784666067684936,2004
Albemarle County,0.4845858299409962,2004
Alexandria City,0.3225879866699179,2004
Alleghany County,0.5506601806810285,2004
Amelia County,0.6483231424865666,2004
Amherst County,0.6111067349350138,2004
Appomattox County,0.6560480841472577,2004
Arlington County,0.3131008980454305,2004
Augusta County,0.7440075410719095,2004
Bath County,0.6275197195442594,2004
Bedford City,0.5790715971675846,2004
Bedford County,0.6981594701311935,2004
Bland County,0.6848167539267016,2004
Botetourt County,0.6877888206621511,2004
Bristol City,0.6357822724568709,2004
Brunswick County,0.41178169217441524,2004
Buchanan County,0.4585410519890121,2004
Buckingham County,0.5284552845528455,2004
Buena Vista City,0.5931352030138133,2004
Campbell County,0.6910031743270861,2004
Caroline County,0.5022101667671288,2004
Carroll County,0.6738951187335093,2004
Charles City County,0.36464088397790057,2004
Charlotte County,0.5821993379919088,2004
Charlottesville City,0.2700323624595469,2004
Chesapeake City,0.5711429851104969,2004
Chesterfield County,0.6258313778827328,2004
Clarke County,0.5750960799385089,2004
Colonial Heights City,0.7446239825051634,2004
Covington City,0.47979139504563234,2004
Craig County,0.6508966043494849,2004
Culpeper County,0.6424863825696892,2004
Cumberland County,0.5761027629665536,2004
Danville City,0.4917852658015906,2004
Dickenson County,0.4848771266540643,2004
Dinwiddie County,0.5713626718331949,2004
Emporia City,0.43674020711391265,2004
Essex County,0.5303867403314917,2004
Fairfax City,0.47838042859852076,2004
Fairfax County,0.4594487395395109,2004
Falls Church City,0.3401115119711381,2004
Fauquier County,0.6355005849908073,2004
Floyd County,0.618057618057618,2004
Fluvanna County,0.5893949073651547,2004
Franklin City,0.4561651583710407,2004
Franklin County,0.6321378751743689,2004
Frederick County,0.6792571829011913,2004
Fredericksburg City,0.4494828957836118,2004
Galax City,0.5721627408993576,2004
Giles County,0.5761536409709256,2004
Gloucester County,0.67862609441009,2004
Goochland County,0.644999032694912,2004
Grayson County,0.6522348325627014,2004
Greene County,0.6585963395301917,2004
Greensville County,0.40676373884452793,2004
Halifax County,0.5706195414847162,2004
Hampton City,0.4197807717837857,2004
Hanover County,0.7136320574066235,2004
Harrisonburg City,0.5589301903898459,2004
Henrico County,0.5382257266635686,2004
Henry County,0.5694432602949953,2004
Highland County,0.6460526315789473,2004
Hopewell City,0.5356602822580645,2004
Isle of Wight County,0.6256064520194065,2004
James City County,0.6094885815374719,2004
King George County,0.6468880191894962,2004
King William County,0.6398428405122235,2004
King and Queen County,0.5286062081558125,2004
Lancaster County,0.597752808988764,2004
Lee County,0.5797338792221085,2004
Lexington City,0.41805023414218817,2004
Loudoun County,0.5568754034861201,2004
Louisa County,0.5885334441213128,2004
Lunenburg County,0.5448999046711154,2004
Lynchburg City,0.5466970387243736,2004
Madison County,0.6160776160776161,2004
Manassas City,0.5624273424784934,2004
Manassas Park City,0.5423169267707083,2004
Martinsville City,0.45297162234517224,2004
Mathews County,0.6818093195554689,2004
Mecklenburg County,0.5726917057902974,2004
Middlesex County,0.6204203087223359,2004
Montgomery County,0.5416468348405521,2004
Nelson County,0.4957276929541953,2004
New Kent County,0.6813491064686634,2004
Newport News City,0.47398163409465505,2004
Norfolk City,0.37411081195975626,2004
Northampton County,0.48536097472267686,2004
Northumberland County,0.5979091902012794,2004
Norton City,0.5106382978723404,2004
Nottoway County,0.5477611940298508,2004
Orange County,0.5993966584158416,2004
Page County,0.6478183900864313,2004
Patrick County,0.6703590992087645,2004
Petersburg City,0.18729600803414512,2004
Pittsylvania County,0.6446000656526972,2004
